Id,Codigo,Nome,Uf
142,1400209,Caracaraí,RR
143,1400233,Caroebe,RR
144,1400282,Iracema,RR
145,1400308,Mucajaí,RR
146,1400407,Normandia,RR
147,1400456,Pacaraima,RR
148,1400472,Rorainópolis,RR
149,1400506,São João da Baliza,RR
150,1400605,São Luiz,RR
151,1400704,Uiramutã,RR
152,1500107,Abaetetuba,PA
153,1500131,Abel Figueiredo,PA
154,1500206,Acará,PA
155,1500305,Afuá,PA
156,1500347,Água Azul do Norte,PA
157,1500404,Alenquer,PA
158,1500503,Almeirim,PA
159,1500602,Altamira,PA
160,1500701,Anajás,PA
161,1500800,Ananindeua,PA
162,1500859,Anapu,PA
163,1500909,Augusto Corrêa,PA
164,1500958,Aurora do Pará,PA
165,1501006,Aveiro,PA
166,1501105,Bagre,PA
167,1501204,Baião,PA
168,1501253,Bannach,PA
169,1501303,Barcarena,PA
170,1501402,Belém,PA
171,1501451,Belterra,PA
172,1501501,Benevides,PA
173,1501576,Bom Jesus do Tocantins,PA
174,1501600,Bonito,PA
175,1501709,Bragança,PA
176,1501725,Brasil Novo,PA
177,1501758,Brejo Grande do Araguaia,PA
178,1501782,Breu Branco,PA
179,1501808,Breves,PA
180,1501907,Bujaru,PA
181,1501956,Cachoeira do Piriá,PA
182,1502004,Cachoeira do Arari,PA
183,1502103,Cametá,PA
184,1502152,Canaã dos Carajás,PA
185,1502202,Capanema,PA
186,1502301,Capitão Poço,PA
187,1502400,Castanhal,PA
188,1502509,Chaves,PA
189,1502608,Colares,PA
190,1502707,Conceição do Araguaia,PA
191,1502756,Concórdia do Pará,PA
192,1502764,Cumaru do Norte,PA
193,1502772,Curionópolis,PA
194,1502806,Curralinho,PA
195,1502855,Curuá,PA
196,1502905,Curuçá,PA
197,1502939,Dom Eliseu,PA
198,1502954,Eldorado dos Carajás,PA
199,1503002,Faro,PA
200,1503044,Floresta do Araguaia,PA
201,1503077,Garrafão do Norte,PA
202,1503093,Goianésia do Pará,PA
203,1503101,Gurupá,PA
204,1503200,Igarapé-Açu,PA
205,1503309,Igarapé-Miri,PA
206,1503408,Inhangapi,PA
207,1503457,Ipixuna do Pará,PA
208,1503507,Irituia,PA
209,1503606,Itaituba,PA
210,1503705,Itupiranga,PA
211,1503754,Jacareacanga,PA
212,1503804,Jacundá,PA
213,1503903,Juruti,PA
214,1504000,Limoeiro do Ajuru,PA
215,1504059,Mãe do Rio,PA
216,1504109,Magalhães Barata,PA
217,1504208,Marabá,PA
218,1504307,Maracanã,PA
219,1504406,Marapanim,PA
220,1504422,Marituba,PA
221,1504455,Medicilândia,PA
222,1504505,Melgaço,PA
223,1504604,Mocajuba,PA
224,1504703,Moju,PA
225,1504752,Mojuí dos Campos,PA
226,1504802,Monte Alegre,PA
227,1504901,Muaná,PA
228,1504950,Nova Esperança do Piriá,PA
229,1504976,Nova Ipixuna,PA
230,1505007,Nova Timboteua,PA
231,1505031,Novo Progresso,PA
232,1505064,Novo Repartimento,PA
233,1505106,Óbidos,PA
234,1505205,Oeiras do Pará,PA
235,1505304,Oriximiná,PA
236,1505403,Ourém,PA
237,1505437,Ourilândia do Norte,PA
238,1505486,Pacajá,PA
239,1505494,Palestina do Pará,PA
240,1505502,Paragominas,PA
241,1505536,Parauapebas,PA
242,1505551,Pau D'Arco,PA
243,1505601,Peixe-Boi,PA
244,1505635,Piçarra,PA
245,1505650,Placas,PA
246,1505700,Ponta de Pedras,PA
247,1505809,Portel,PA
248,1505908,Porto de Moz,PA
249,1506005,Prainha,PA
250,1506104,Primavera,PA
251,1506112,Quatipuru,PA
252,1506138,Redenção,PA
253,1506161,Rio Maria,PA
254,1506187,Rondon do Pará,PA
255,1506195,Rurópolis,PA
256,1506203,Salinópolis,PA
257,1506302,Salvaterra,PA
258,1506351,Santa Bárbara do Pará,PA
259,1506401,Santa Cruz do Arari,PA
260,1506500,Santa Isabel do Pará,PA
261,1506559,Santa Luzia do Pará,PA
262,1506583,Santa Maria das Barreiras,PA
263,1506609,Santa Maria do Pará,PA
264,1506708,Santana do Araguaia,PA
265,1506807,Santarém,PA
266,1506906,Santarém Novo,PA
267,1507003,Santo Antônio do Tauá,PA
268,1507102,São Caetano de Odivelas,PA
269,1507151,São Domingos do Araguaia,PA
270,1507201,São Domingos do Capim,PA
271,1507300,São Félix do Xingu,PA
272,1507409,São Francisco do Pará,PA
273,1507458,São Geraldo do Araguaia,PA
274,1507466,São João da Ponta,PA
275,1507474,São João de Pirabas,PA
276,1507508,São João do Araguaia,PA
277,1507607,São Miguel do Guamá,PA
278,1507706,São Sebastião da Boa Vista,PA
279,1507755,Sapucaia,PA
280,1507805,Senador José Porfírio,PA
281,1507904,Soure,PA
282,1507953,Tailândia,PA
283,1507961,Terra Alta,PA
284,1507979,Terra Santa,PA
285,1508001,Tomé-Açu,PA
286,1508035,Tracuateua,PA
287,1508050,Trairão,PA
288,1508084,Tucumã,PA
289,1508100,Tucuruí,PA
290,1508126,Ulianópolis,PA
291,1508159,Uruará,PA
292,1508209,Vigia,PA
293,1508308,Viseu,PA
294,1508357,Vitória do Xingu,PA
295,1508407,Xinguara,PA
296,1600055,Serra do Navio,AP
297,1600105,Amapá,AP
298,1600154,Pedra Branca do Amapari,AP
299,1600204,Calçoene,AP
300,1600212,Cutias,AP
301,1600238,Ferreira Gomes,AP
302,1600253,Itaubal,AP
303,1600279,Laranjal do Jari,AP
304,1600303,Macapá,AP
305,1600402,Mazagão,AP
306,1600501,Oiapoque,AP
307,1600535,Porto Grande,AP
308,1600550,Pracuúba,AP
309,1600600,Santana,AP
310,1600709,Tartarugalzinho,AP
311,1600808,Vitória do Jari,AP
312,1700251,Abreulândia,TO
313,1700301,Aguiarnópolis,TO
314,1700350,Aliança do Tocantins,TO
315,1700400,Almas,TO
316,1700707,Alvorada,TO
317,1701002,Ananás,TO
318,1701051,Angico,TO
319,1701101,Aparecida do Rio Negro,TO
320,1701309,Aragominas,TO
321,1701903,Araguacema,TO
322,1702000,Araguaçu,TO
323,1702109,Araguaína,TO
324,1702158,Araguanã,TO
325,1702208,Araguatins,TO
326,1702307,Arapoema,TO
327,1702406,Arraias,TO
328,1702554,Augustinópolis,TO
329,1702703,Aurora do Tocantins,TO
330,1702901,Axixá do Tocantins,TO
331,1703008,Babaçulândia,TO
332,1703057,Bandeirantes do Tocantins,TO
333,1703073,Barra do Ouro,TO
334,1703107,Barrolândia,TO
335,1703206,Bernardo Sayão,TO
336,1703305,Bom Jesus do Tocantins,TO
337,1703602,Brasilândia do Tocantins,TO
338,1703701,Brejinho de Nazaré,TO
339,1703800,Buriti do Tocantins,TO
340,1703826,Cachoeirinha,TO
341,1703842,Campos Lindos,TO
342,1703867,Cariri do Tocantins,TO
343,1703883,Carmolândia,TO
344,1703891,Carrasco Bonito,TO
345,1703909,Caseara,TO
346,1704105,Centenário,TO
347,1704600,Chapada de Areia,TO
348,1705102,Chapada da Natividade,TO
349,1705508,Colinas do Tocantins,TO
350,1705557,Combinado,TO
351,1705607,Conceição do Tocantins,TO
352,1706001,Couto Magalhães,TO
353,1706100,Cristalândia,TO
354,1706258,Crixás do Tocantins,TO
355,1706506,Darcinópolis,TO
356,1707009,Dianópolis,TO
357,1707108,Divinópolis do Tocantins,TO
358,1707207,Dois Irmãos do Tocantins,TO
359,1707306,Dueré,TO
360,1707405,Esperantina,TO
361,1707553,Fátima,TO
362,1707652,Figueirópolis,TO
363,1707702,Filadélfia,TO
364,1708205,Formoso do Araguaia,TO
365,1708254,Fortaleza do Tabocão,TO
366,1708304,Goianorte,TO
367,1709005,Goiatins,TO
368,1709302,Guaraí,TO
369,1709500,Gurupi,TO
370,1709807,Ipueiras,TO
371,1710508,Itacajá,TO
372,1710706,Itaguatins,TO
373,1710904,Itapiratins,TO
374,1711100,Itaporã do Tocantins,TO
375,1711506,Jaú do Tocantins,TO
376,1711803,Juarina,TO
377,1711902,Lagoa da Confusão,TO
378,1711951,Lagoa do Tocantins,TO
379,1712009,Lajeado,TO
380,1712157,Lavandeira,TO
381,1712405,Lizarda,TO
382,1712454,Luzinópolis,TO
383,1712504,Marianópolis do Tocantins,TO
384,1712702,Mateiros,TO
385,1712801,Maurilândia do Tocantins,TO
386,1713205,Miracema do Tocantins,TO
387,1713304,Miranorte,TO
388,1713601,Monte do Carmo,TO
389,1713700,Monte Santo do Tocantins,TO
390,1713809,Palmeiras do Tocantins,TO
391,1713957,Muricilândia,TO
392,1714203,Natividade,TO
393,1714302,Nazaré,TO
394,1714880,Nova Olinda,TO
395,1715002,Nova Rosalândia,TO
396,1715101,Novo Acordo,TO
397,1715150,Novo Alegre,TO
398,1715259,Novo Jardim,TO
399,1715507,Oliveira de Fátima,TO
400,1715705,Palmeirante,TO
401,1715754,Palmeirópolis,TO
402,1716109,Paraíso do Tocantins,TO
403,1716208,Paranã,TO
404,1716307,Pau D'Arco,TO
405,1716505,Pedro Afonso,TO
406,1716604,Peixe,TO
407,1716653,Pequizeiro,TO
408,1716703,Colméia,TO
409,1717008,Pindorama do Tocantins,TO
410,1717206,Piraquê,TO
411,1717503,Pium,TO
412,1717800,Ponte Alta do Bom Jesus,TO
413,1717909,Ponte Alta do Tocantins,TO
414,1718006,Porto Alegre do Tocantins,TO
415,1718204,Porto Nacional,TO
416,1718303,Praia Norte,TO
417,1718402,Presidente Kennedy,TO
418,1718451,Pugmil,TO
419,1718501,Recursolândia,TO
420,1718550,Riachinho,TO
421,1718659,Rio da Conceição,TO
422,1718709,Rio dos Bois,TO
423,1718758,Rio Sono,TO
424,1718808,Sampaio,TO
425,1718840,Sandolândia,TO
426,1718865,Santa Fé do Araguaia,TO
427,1718881,Santa Maria do Tocantins,TO
428,1718899,Santa Rita do Tocantins,TO
429,1718907,Santa Rosa do Tocantins,TO
430,1719004,Santa Tereza do Tocantins,TO
431,1720002,Santa Terezinha do Tocantins,TO
432,1720101,São Bento do Tocantins,TO
433,1720150,São Félix do Tocantins,TO
434,1720200,São Miguel do Tocantins,TO
435,1720259,São Salvador do Tocantins,TO
436,1720309,São Sebastião do Tocantins,TO
437,1720499,São Valério,TO
438,1720655,Silvanópolis,TO
439,1720804,Sítio Novo do Tocantins,TO
440,1720853,Sucupira,TO
441,1720903,Taguatinga,TO
442,1720937,Taipas do Tocantins,TO
443,1720978,Talismã,TO
444,1721000,Palmas,TO
445,1721109,Tocantínia,TO
446,1721208,Tocantinópolis,TO
447,1721257,Tupirama,TO
448,1721307,Tupiratins,TO
449,1722081,Wanderlândia,TO
450,1722107,Xambioá,TO
451,2100055,Açailândia,MA
452,2100105,Afonso Cunha,MA
453,2100154,Água Doce do Maranhão,MA
454,2100204,Alcântara,MA
455,2100303,Aldeias Altas,MA
456,2100402,Altamira do Maranhão,MA
457,2100436,Alto Alegre do Maranhão,MA
458,2100477,Alto Alegre do Pindaré,MA
459,2100501,Alto Parnaíba,MA
460,2100550,Amapá do Maranhão,MA
461,2100600,Amarante do Maranhão,MA
462,2100709,Anajatuba,MA
463,2100808,Anapurus,MA
464,2100832,Apicum-Açu,MA
465,2100873,Araguanã,MA
466,2100907,Araioses,MA
467,2100956,Arame,MA
468,2101004,Arari,MA
469,2101103,Axixá,MA
470,2101202,Bacabal,MA
471,2101251,Bacabeira,MA
472,2101301,Bacuri,MA
473,2101350,Bacurituba,MA
474,2101400,Balsas,MA
475,2101509,Barão de Grajaú,MA
476,2101608,Barra do Corda,MA
477,2101707,Barreirinhas,MA
478,2101731,Belágua,MA
479,2101772,Bela Vista do Maranhão,MA
480,2101806,Benedito Leite,MA
481,2101905,Bequimão,MA
482,2101939,Bernardo do Mearim,MA
483,2101970,Boa Vista do Gurupi,MA
484,2102002,Bom Jardim,MA
485,2102036,Bom Jesus das Selvas,MA
486,2102077,Bom Lugar,MA
487,2102101,Brejo,MA
488,2102150,Brejo de Areia,MA
489,2102200,Buriti,MA
490,2102309,Buriti Bravo,MA
491,2102325,Buriticupu,MA
492,2102358,Buritirana,MA
493,2102374,Cachoeira Grande,MA
494,2102408,Cajapió,MA
495,2102507,Cajari,MA
496,2102556,Campestre do Maranhão,MA
497,2102606,Cândido Mendes,MA
498,2102705,Cantanhede,MA
499,2102754,Capinzal do Norte,MA
500,2102804,Carolina,MA
501,2102903,Carutapera,MA
502,2103000,Caxias,MA
503,2103109,Cedral,MA
504,2103125,Central do Maranhão,MA
505,2103158,Centro do Guilherme,MA
506,2103174,Centro Novo do Maranhão,MA
507,2103208,Chapadinha,MA
508,2103257,Cidelândia,MA
509,2103307,Codó,MA
510,2103406,Coelho Neto,MA
511,2103505,Colinas,MA
512,2103554,Conceição do Lago-Açu,MA
513,2103604,Coroatá,MA
514,2103703,Cururupu,MA
515,2103752,Davinópolis,MA
516,2103802,Dom Pedro,MA
517,2103901,Duque Bacelar,MA
518,2104008,Esperantinópolis,MA
519,2104057,Estreito,MA
520,2104073,Feira Nova do Maranhão,MA
521,2104081,Fernando Falcão,MA
522,2104099,Formosa da Serra Negra,MA
523,2104107,Fortaleza dos Nogueiras,MA
524,2104206,Fortuna,MA
525,2104305,Godofredo Viana,MA
526,2104404,Gonçalves Dias,MA
527,2104503,Governador Archer,MA
528,2104552,Governador Edison Lobão,MA
529,2104602,Governador Eugênio Barros,MA
530,2104628,Governador Luiz Rocha,MA
531,2104651,Governador Newton Bello,MA
532,2104677,Governador Nunes Freire,MA
533,2104701,Graça Aranha,MA
534,2104800,Grajaú,MA
535,2104909,Guimarães,MA
536,2105005,Humberto de Campos,MA
537,2105104,Icatu,MA
538,2105153,Igarapé do Meio,MA
539,2105203,Igarapé Grande,MA
540,2105302,Imperatriz,MA
541,2105351,Itaipava do Grajaú,MA
542,2105401,Itapecuru Mirim,MA
543,2105427,Itinga do Maranhão,MA
544,2105450,Jatobá,MA
545,2105476,Jenipapo dos Vieiras,MA
546,2105500,João Lisboa,MA
547,2105609,Joselândia,MA
548,2105658,Junco do Maranhão,MA
549,2105708,Lago da Pedra,MA
550,2105807,Lago do Junco,MA
551,2105906,Lago Verde,MA
552,2105922,Lagoa do Mato,MA
553,2105948,Lago dos Rodrigues,MA
554,2105963,Lagoa Grande do Maranhão,MA
555,2105989,Lajeado Novo,MA
556,2106003,Lima Campos,MA
557,2106102,Loreto,MA
558,2106201,Luís Domingues,MA
559,2106300,Magalhães de Almeida,MA
560,2106326,Maracaçumé,MA
561,2106359,Marajá do Sena,MA
562,2106375,Maranhãozinho,MA
563,2106409,Mata Roma,MA
564,2106508,Matinha,MA
565,2106607,Matões,MA
566,2106631,Matões do Norte,MA
567,2106672,Milagres do Maranhão,MA
568,2106706,Mirador,MA
569,2106755,Miranda do Norte,MA
570,2106805,Mirinzal,MA
571,2106904,Monção,MA
572,2107001,Montes Altos,MA
573,2107100,Morros,MA
574,2107209,Nina Rodrigues,MA
575,2107258,Nova Colinas,MA
576,2107308,Nova Iorque,MA
577,2107357,Nova Olinda do Maranhão,MA
578,2107407,Olho D'Água das Cunhãs,MA
579,2107456,Olinda Nova do Maranhão,MA
580,2107506,Paço do Lumiar,MA
581,2107605,Palmeirândia,MA
582,2107704,Paraibano,MA
583,2107803,Parnarama,MA
584,2107902,Passagem Franca,MA
585,2108009,Pastos Bons,MA
586,2108058,Paulino Neves,MA
587,2108108,Paulo Ramos,MA
588,2108207,Pedreiras,MA
589,2108256,Pedro do Rosário,MA
590,2108306,Penalva,MA
591,2108405,Peri Mirim,MA
592,2108454,Peritoró,MA
593,2108504,Pindaré-Mirim,MA
594,2108603,Pinheiro,MA
595,2108702,Pio XII,MA
596,2108801,Pirapemas,MA
597,2108900,Poção de Pedras,MA
598,2109007,Porto Franco,MA
599,2109056,Porto Rico do Maranhão,MA
600,2109106,Presidente Dutra,MA
601,2109205,Presidente Juscelino,MA
602,2109239,Presidente Médici,MA
603,2109270,Presidente Sarney,MA
604,2109304,Presidente Vargas,MA
605,2109403,Primeira Cruz,MA
606,2109452,Raposa,MA
607,2109502,Riachão,MA
608,2109551,Ribamar Fiquene,MA
609,2109601,Rosário,MA
610,2109700,Sambaíba,MA
611,2109759,Santa Filomena do Maranhão,MA
612,2109809,Santa Helena,MA
613,2109908,Santa Inês,MA
614,2110005,Santa Luzia,MA
615,2110039,Santa Luzia do Paruá,MA
616,2110104,Santa Quitéria do Maranhão,MA
617,2110203,Santa Rita,MA
618,2110237,Santana do Maranhão,MA
619,2110278,Santo Amaro do Maranhão,MA
620,2110302,Santo Antônio dos Lopes,MA
621,2110401,São Benedito do Rio Preto,MA
622,2110500,São Bento,MA
623,2110609,São Bernardo,MA
624,2110658,São Domingos do Azeitão,MA
625,2110708,São Domingos do Maranhão,MA
626,2110807,São Félix de Balsas,MA
627,2110856,São Francisco do Brejão,MA
628,2110906,São Francisco do Maranhão,MA
629,2111003,São João Batista,MA
630,2111029,São João do Carú,MA
631,2111052,São João do Paraíso,MA
632,2111078,São João do Soter,MA
633,2111102,São João dos Patos,MA
634,2111201,São José de Ribamar,MA
635,2111250,São José dos Basílios,MA
636,2111300,São Luís,MA
637,2111409,São Luís Gonzaga do Maranhão,MA
638,2111508,São Mateus do Maranhão,MA
639,2111532,São Pedro da Água Branca,MA
640,2111573,São Pedro dos Crentes,MA
641,2111607,São Raimundo das Mangabeiras,MA
642,2111631,São Raimundo do Doca Bezerra,MA
643,2111672,São Roberto,MA
644,2111706,São Vicente Ferrer,MA
645,2111722,Satubinha,MA
646,2111748,Senador Alexandre Costa,MA
647,2111763,Senador La Rocque,MA
648,2111789,Serrano do Maranhão,MA
649,2111805,Sítio Novo,MA
650,2111904,Sucupira do Norte,MA
651,2111953,Sucupira do Riachão,MA
652,2112001,Tasso Fragoso,MA
653,2112100,Timbiras,MA
654,2112209,Timon,MA
655,2112233,Trizidela do Vale,MA
656,2112274,Tufilândia,MA
657,2112308,Tuntum,MA
658,2112407,Turiaçu,MA
659,2112456,Turilândia,MA
660,2112506,Tutóia,MA
661,2112605,Urbano Santos,MA
662,2112704,Vargem Grande,MA
663,2112803,Viana,MA
664,2112852,Vila Nova dos Martírios,MA
665,2112902,Vitória do Mearim,MA
666,2113009,Vitorino Freire,MA
667,2114007,Zé Doca,MA
668,2200053,Acauã,PI
669,2200103,Agricolândia,PI
670,2200202,Água Branca,PI
671,2200251,Alagoinha do Piauí,PI
672,2200277,Alegrete do Piauí,PI
673,2200301,Alto Longá,PI
674,2200400,Altos,PI
675,2200459,Alvorada do Gurguéia,PI
676,2200509,Amarante,PI
677,2200608,Angical do Piauí,PI
678,2200707,Anísio de Abreu,PI
679,2200806,Antônio Almeida,PI
680,2200905,Aroazes,PI
681,2200954,Aroeiras do Itaim,PI
682,2201002,Arraial,PI
683,2201051,Assunção do Piauí,PI
684,2201101,Avelino Lopes,PI
685,2201150,Baixa Grande do Ribeiro,PI
686,2201176,Barra D'Alcântara,PI
687,2201200,Barras,PI
688,2201309,Barreiras do Piauí,PI
689,2201408,Barro Duro,PI
690,2201507,Batalha,PI
691,2201556,Bela Vista do Piauí,PI
692,2201572,Belém do Piauí,PI
693,2201606,Beneditinos,PI
694,2201705,Bertolínia,PI
695,2201739,Betânia do Piauí,PI
696,2201770,Boa Hora,PI
697,2201804,Bocaina,PI
698,2201903,Bom Jesus,PI
699,2201919,Bom Princípio do Piauí,PI
700,2201929,Bonfim do Piauí,PI
701,2201945,Boqueirão do Piauí,PI
702,2201960,Brasileira,PI
703,2201988,Brejo do Piauí,PI
704,2202000,Buriti dos Lopes,PI
705,2202026,Buriti dos Montes,PI
706,2202059,Cabeceiras do Piauí,PI
707,2202075,Cajazeiras do Piauí,PI
708,2202083,Cajueiro da Praia,PI
709,2202091,Caldeirão Grande do Piauí,PI
710,2202109,Campinas do Piauí,PI
711,2202117,Campo Alegre do Fidalgo,PI
712,2202133,Campo Grande do Piauí,PI
713,2202174,Campo Largo do Piauí,PI
714,2202208,Campo Maior,PI
715,2202251,Canavieira,PI
716,2202307,Canto do Buriti,PI
717,2202406,Capitão de Campos,PI
718,2202455,Capitão Gervásio Oliveira,PI
719,2202505,Caracol,PI
720,2202539,Caraúbas do Piauí,PI
721,2202554,Caridade do Piauí,PI
722,2202604,Castelo do Piauí,PI
723,2202653,Caxingó,PI
724,2202703,Cocal,PI
725,2202711,Cocal de Telha,PI
726,2202729,Cocal dos Alves,PI
727,2202737,Coivaras,PI
728,2202752,Colônia do Gurguéia,PI
729,2202778,Colônia do Piauí,PI
730,2202802,Conceição do Canindé,PI
731,2202851,Coronel José Dias,PI
732,2202901,Corrente,PI
733,2203008,Cristalândia do Piauí,PI
734,2203107,Cristino Castro,PI
735,2203206,Curimatá,PI
736,2203230,Currais,PI
737,2203255,Curralinhos,PI
738,2203271,Curral Novo do Piauí,PI
739,2203305,Demerval Lobão,PI
740,2203354,Dirceu Arcoverde,PI
741,2203404,Dom Expedito Lopes,PI
742,2203420,Domingos Mourão,PI
743,2203453,Dom Inocêncio,PI
744,2203503,Elesbão Veloso,PI
745,2203602,Eliseu Martins,PI
746,2203701,Esperantina,PI
747,2203750,Fartura do Piauí,PI
748,2203800,Flores do Piauí,PI
749,2203859,Floresta do Piauí,PI
750,2203909,Floriano,PI
751,2204006,Francinópolis,PI
752,2204105,Francisco Ayres,PI
753,2204154,Francisco Macedo,PI
754,2204204,Francisco Santos,PI
755,2204303,Fronteiras,PI
756,2204352,Geminiano,PI
757,2204402,Gilbués,PI
758,2204501,Guadalupe,PI
759,2204550,Guaribas,PI
760,2204600,Hugo Napoleão,PI
761,2204659,Ilha Grande,PI
762,2204709,Inhuma,PI
763,2204808,Ipiranga do Piauí,PI
764,2204907,Isaías Coelho,PI
765,2205003,Itainópolis,PI
766,2205102,Itaueira,PI
767,2205151,Jacobina do Piauí,PI
768,2205201,Jaicós,PI
769,2205250,Jardim do Mulato,PI
770,2205276,Jatobá do Piauí,PI
771,2205300,Jerumenha,PI
772,2205359,João Costa,PI
773,2205409,Joaquim Pires,PI
774,2205458,Joca Marques,PI
775,2205508,José de Freitas,PI
776,2205516,Juazeiro do Piauí,PI
777,2205524,Júlio Borges,PI
778,2205532,Jurema,PI
779,2205540,Lagoinha do Piauí,PI
780,2205557,Lagoa Alegre,PI
781,2205565,Lagoa do Barro do Piauí,PI
782,2205573,Lagoa de São Francisco,PI
783,2205581,Lagoa do Piauí,PI
784,2205599,Lagoa do Sítio,PI
785,2205607,Landri Sales,PI
786,2205706,Luís Correia,PI
787,2205805,Luzilândia,PI
788,2205854,Madeiro,PI
789,2205904,Manoel Emídio,PI
790,2205953,Marcolândia,PI
791,2206001,Marcos Parente,PI
792,2206050,Massapê do Piauí,PI
793,2206100,Matias Olímpio,PI
794,2206209,Miguel Alves,PI
795,2206308,Miguel Leão,PI
796,2206357,Milton Brandão,PI
797,2206407,Monsenhor Gil,PI
798,2206506,Monsenhor Hipólito,PI
799,2206605,Monte Alegre do Piauí,PI
800,2206654,Morro Cabeça no Tempo,PI
801,2206670,Morro do Chapéu do Piauí,PI
802,2206696,Murici dos Portelas,PI
803,2206704,Nazaré do Piauí,PI
